kernel,Outer,Inner,Iter,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_double,assign_int,assign_double,log_Iter,log_VarDecl,log_refExpr,log_intLiteral,log_floatLiteral,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_double,log_assign_int,log_assign_double,runtime
35,40,5045,201800,2,286,73,1,0,0,106,35,71,35,0,1,37,17.622566648881083,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.003319
35,40,5545,221800,2,286,73,1,0,0,106,35,71,35,0,1,37,17.758899839936436,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.003546
35,40,6045,241800,2,286,73,1,0,0,106,35,71,35,0,1,37,17.88345471902385,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.003925
35,40,6545,261800,2,286,73,1,0,0,106,35,71,35,0,1,37,17.998105571719965,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.003995
35,40,7045,281800,2,286,73,1,0,0,106,35,71,35,0,1,37,18.104312086084363,1.0,8.159871336778389,6.189824558880018,0.0,0.0,0.0,6.727920454563199,5.129283016944966,6.149747119504682,5.129283016944966,0.0,0.0,5.20945336562895,0.004183
535,40,45,1800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,10.813781191217037,1.0,12.065416134676548,10.067434360756522,0.0,0.0,0.0,10.649256177517314,9.06339508128851,10.064742764750257,9.06339508128851,0.0,0.0,9.068778277985412,0.000304
535,40,545,21800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,14.41204051455165,1.0,12.065416134676548,10.067434360756522,0.0,0.0,0.0,10.649256177517314,9.06339508128851,10.064742764750257,9.06339508128851,0.0,0.0,9.068778277985412,0.003803
535,40,1045,41800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,15.351215321855607,1.0,12.065416134676548,10.067434360756522,0.0,0.0,0.0,10.649256177517314,9.06339508128851,10.064742764750257,9.06339508128851,0.0,0.0,9.068778277985412,0.008162
535,40,1545,61800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,15.9153192176791,1.0,12.065416134676548,10.067434360756522,0.0,0.0,0.0,10.649256177517314,9.06339508128851,10.064742764750257,9.06339508128851,0.0,0.0,9.068778277985412,0.011364
535,40,2045,81800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,16.319813222716473,1.0,12.065416134676548,10.067434360756522,0.0,0.0,0.0,10.649256177517314,9.06339508128851,10.064742764750257,9.06339508128851,0.0,0.0,9.068778277985412,0.013849
535,40,2545,101800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,16.63537803585042,1.0,12.065416134676548,10.067434360756522,0.0,0.0,0.0,10.649256177517314,9.06339508128851,10.064742764750257,9.06339508128851,0.0,0.0,9.068778277985412,0.01631
535,40,3045,121800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,16.894154607681056,1.0,12.065416134676548,10.067434360756522,0.0,0.0,0.0,10.649256177517314,9.06339508128851,10.064742764750257,9.06339508128851,0.0,0.0,9.068778277985412,0.017023
535,40,3545,141800,2,4286,1073,1,0,0,1606,535,1071,535,0,1,537,17.11349800701424,1.0,12.065416134676548,10.067434360756522,0.0,0.0,0.0,10.649256177517314,9.06339508128851,10.064742764750257,9.06339508128851,0.0,0.0,9.068778277985412,0.020301
