Kernel, Architechture, Vendor, No of CPUs, Cycle(MHz), L1(KB), L2(KB), L3(KB), RAM(GB), Available Threads, Num Iterations, varDecl, refExpr, intLiteral, floatLiteral, add_int, add_float, sub_int, sub_float, mul_int, mul_float, div_int, div_float, rem_int, rem_float, shl_int, shl_float, shr_int, shr_float, assign_int, assign_float, mulAssign_int, mulAssign_float, divAssign_int, divAssign_float, remAssign_int, remAssign_float, addAssign_int, addAssign_float, subAssign_int, subAssign_float, shlAssign_int, shlAssign_float, shrAssign_int, shrAssign_float, postInc_int, postInc_float, postDec_int, postDec_float, preInc_int, preInc_float, preDec_int, preDec_float,Execution Time
kernel_1100_2100_801_330_9_123,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,32056952,31502,2100,1684999,1684999,0,0,695428,695428,0,0,0,0,0,0,0,0,2393027,2380427,0,0,0,0,0,0,0,21007,0,0,0,0,0,0,1697600,0,0,0,0,0,0,0,4.670
kernel_1100_2100_801_330_9_124,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,17852118,27302,2100,0,1684999,0,0,0,695428,0,0,0,0,0,0,0,0,10500,2380427,0,0,0,0,0,0,21007,21007,0,0,0,0,0,0,1695500,0,0,0,0,0,0,0,2.873
kernel_1100_2100_801_330_9_125,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,27968412,31502,2100,1684999,1684999,0,0,0,695428,0,0,0,0,0,0,0,0,1697599,2380427,0,0,0,0,0,0,21007,21007,0,0,0,0,0,0,1697600,0,0,0,0,0,0,0,4.410
kernel_1100_2100_801_330_9_126,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,22030986,31502,2100,0,1684999,0,0,695428,695428,0,0,0,0,0,0,0,0,708028,2380427,0,0,0,0,0,0,21007,21007,0,0,0,0,0,0,1697600,0,0,0,0,0,0,0,3.476
kernel_1100_2100_801_330_9_127,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,32147280,35702,2100,1684999,1684999,0,0,695428,695428,0,0,0,0,0,0,0,0,2395127,2380427,0,0,0,0,0,0,21007,21007,0,0,0,0,0,0,1699700,0,0,0,0,0,0,0,4.731
kernel_1100_2100_801_5_626_0,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,2,6302,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.263
kernel_1100_2100_801_5_626_1,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,10116296,10502,2100,1684999,0,0,0,0,0,0,0,0,0,0,0,0,0,1687099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,0,0,0,0,0,0,0,1.040
kernel_1100_2100_801_5_626_2,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,81920,10502,2100,0,0,0,0,12603,0,0,0,0,0,0,0,0,0,14703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,0,0,0,0,0,0,0,0.187
kernel_1100_2100_801_5_626_3,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,10198214,14702,2100,1684999,0,0,0,12603,0,0,0,0,0,0,0,0,0,1701802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201,0,0,0,0,0,0,0,2.188
kernel_1100_2100_801_5_626_4,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,5275598,10502,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,0,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,2101,0,0,0,0,0,0,0,0.655
kernel_1100_2100_801_5_626_5,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,15391892,14702,2100,1684999,0,0,0,0,0,0,0,0,0,0,0,0,0,1689199,0,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,4201,0,0,0,0,0,0,0,1.447
kernel_1100_2100_801_5_626_6,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,5357516,14702,2100,0,0,0,0,12603,0,0,0,0,0,0,0,0,0,16803,0,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,4201,0,0,0,0,0,0,0,1.031
kernel_1100_2100_801_5_626_7,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,15473810,18902,2100,1684999,0,0,0,12603,0,0,0,0,0,0,0,0,0,1703902,0,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,6301,0,0,0,0,0,0,0,2.929
